Days,Mean,St dev,co relation
243,36160.8,7107.82561,0.934782531
244,35228.2,6771.921997,0.91354999
245,36168.9,6696.815983,0.878908767
246,34989.9,6469.591079,0.842882623
247,33750.95,7326.194212,0.83545395
248,33777.4,8797.487586,0.935568388
249,31398.6,6606.131764,0.876872086
250,30755.3,7254.874783,0.954086189
251,29422.65,7527.897961,0.968880874
252,29458.4,7745.367392,0.934315481
253,30356.55,9057.739299,0.91019232
254,29904.6,8846.274972,0.534451358
255,29680.05,11981.04683,0.780480806
256,28412.8,9759.690572,0.985217936
257,29000.25,10901.76972,0.95098369
258,28411.75,9645.764044,0.83097897
259,27016.4,7083.797319,0.946802919
260,25502.15,6601.934838,0.903578215
261,24313.1,6347.199481,0.945986161
262,24434.25,6885.827977,0.880380563
263,24784.4,10180.33259,0.80866565
264,26284.4,11946.94747,0.322361728
265,26611.35,16310.01871,0.966835209
266,23905.25,8464.346512,0.949994437
267,24695.2,9264.994132,0.598263238
268,24864.5,10467.48818,0.942602148
269,24731.8,13548.98586,0.818414439
270,21773.9,7996.407805,0.905844176
271,20281.95,6076.619658,0.957789527
272,19232.75,5254.159895,0.962988973
273,18341.1,4932.477032,0.952969555
274,17940.75,4759.964185,0.969032866
275,16748.2,4166.537596,0.959032843
276,15999.45,3804.932622,0.932375927
277,16078.8,3540.905112,0.905751164
278,15990.45,3133.033614,0.939417406
279,15761.15,2960.069688,0.947145163
280,15055.4,3045.186165,0.957329792
281,14442.6,2890.049524,0.945913108
282,14191.05,2696.755448,0.970487506
283,14060.2,2644.382539,0.94414751
284,13421.5,2369.434809,0.890898088
285,13063.45,2329.528809,0.868898129
286,13227.8,2791.147992,0.676413906
287,12963.65,2448.571985,0.956150532
288,12384.55,2195.232405,0.943330358
289,11769.3,2263.7133,0.903502923
290,11441.15,1883.89653,0.922084709
291,11456.3,1763.641511,0.904945127
292,11107,1538.710465,0.953577701
293,11108.35,1719.975896,0.926022151
294,10830.3,1621.753862,0.920960699
295,10476.6,1521.188434,0.917138962
296,10235.8,1726.371571,0.924960518
297,10040.1,2111.27958,0.927974795
