Time,Levels(ft),Inflows(Cs),Disch(Cs)
2000.336,1492.46,14270,17369
2000.339,1491.66,14614,19214
2000.342,1491.44,17683,18946
2000.344,1491.51,19508,19107
2000.347,1491.48,18776,18947
2000.35,1491,15811,18569
2000.352,1490.26,14805,19053
2000.355,1490.02,17568,18947
2000.358,1490.03,19602,19545
2000.361,1490.38,21958,19947
2000.363,1491.29,24850,19625
2000.366,1491.97,25010,21104
2000.369,1493.02,26584,20551
2000.372,1494.5,29057,20552
2000.374,1495.92,29196,21041
2000.377,1497.1,27886,21107
2000.38,1498.34,28015,20893
2000.383,1499.35,27455,21651
2000.385,1500.28,26484,20985
2000.388,1500.93,25554,21451
2000.391,1501.91,27687,21500
2000.393,1503.24,29841,21446
2000.396,1504.29,28132,21500
2000.399,1505.38,28381,21500
2000.402,1506.6,29046,21344
2000.404,1507.57,27301,21178
2000.407,1508.24,26073,21845
2000.41,1508.82,25661,22000
2000.413,1509.62,26999,21949
2000.415,1510.2,25972,22309
2000.418,1510.34,23573,22688
2000.421,1510.47,23165,22345
2000.423,1511,25467,22120
2000.426,1511.91,27441,21697
2000.429,1512.1,23806,22606
2000.432,1511.64,20965,23868
2000.434,1510.92,20904,25452
2000.437,1512.57,36981,26562
2000.44,1516.56,51300,26115
2000.443,1517.25,31357,27098
2000.445,1517,26492,28070
2000.448,1516.19,24435,29553
2000.451,1515.26,23812,29682
2000.454,1514.65,26317,30166
2000.456,1514.55,29586,30217
2000.459,1515.11,33413,29880
2000.462,1515.74,34195,30217
2000.464,1516.45,34591,30110
2000.467,1517.3,35205,29835
2000.47,1518.08,35472,30548
2000.473,1518.99,35613,30500
2000.475,1519.72,35850,30611
2000.478,1520,32377,30610
2000.481,1519.89,29751,30445
2000.484,1519.7,29356,30555
2000.486,1519.76,30428,30049
2000.489,1520.66,36202,29597
2000.492,1521.42,35307,29445
2000.495,1522.2,35517,29500
2000.497,1523.92,42712,29445
2000.5,1525.34,39138,28188
2000.503,1526.12,34125,28110
2000.505,1526.48,30777,28000
2000.508,1526.8,30413,27945
2000.511,1527.12,30414,27945
2000.514,1527.73,32815,28110
2000.516,1528.85,36530,27890
