,Time,Levels(ft),Inflows(Cs),Disch(Cs)
388,2000.06,1594.62,6222,17117
389,2000.063,1593.83,5869,16241
390,2000.066,1593.03,5732,16235
391,2000.068,1592.27,5630,15607
392,2000.071,1591.62,7328,15867
393,2000.074,1590.91,6560,15879
394,2000.077,1590.18,6231,15815
395,2000.079,1589.43,5927,15776
396,2000.082,1588.65,5663,15903
397,2000.085,1587.87,5614,15854
398,2000.087,1587.18,6809,15868
399,2000.09,1586.49,6542,15600
400,2000.093,1585.85,6322,14725
401,2000.096,1585.16,5942,15000
402,2000.098,1584.47,5941,15000
403,2000.101,1583.83,6943,15345
404,2000.104,1583.1,5600,15184
405,2000.107,1582.37,5507,15090
406,2000.109,1581.64,5415,15000
407,2000.112,1580.95,5986,15044
408,2000.115,1580.29,6644,15308
409,2000.117,1579.66,7261,15000
410,2000.12,1579.06,7932,14868
411,2000.123,1578.35,6880,15088
412,2000.126,1577.62,6604,15044
413,2000.128,1576.84,5983,15000
414,2000.131,1576.09,6286,14956
415,2000.134,1575.31,6117,15134
416,2000.137,1574.55,6124,14910
417,2000.139,1573.81,6489,15044
418,2000.142,1573,5636,15000
419,2000.145,1572.1,5641,16045
420,2000.148,1571.2,5606,16011
421,2000.15,1570.29,5576,16097
422,2000.153,1569.2,5496,18096
423,2000.156,1568.01,5229,18986
424,2000.158,1566.79,5139,19244
425,2000.161,1565.51,5343,20139
426,2000.164,1564.16,5029,20636
427,2000.167,1562.82,4601,20093
428,2000.169,1561.48,4600,20090
429,2000.172,1560.05,4528,21060
430,2000.175,1558.58,6510,20906
431,2000.178,1557.16,7684,21500
432,2000.18,1555.62,6603,21588
433,2000.183,1554.11,6397,21090
434,2000.186,1552.6,6173,20866
435,2000.189,1551.09,5872,20565
436,2000.191,1549.56,5612,20500
437,2000.194,1548,5282,20456
438,2000.197,1546.54,6288,20495
439,2000.199,1545,5560,20544
440,2000.202,1543.43,5267,20544
441,2000.205,1541.84,5116,20588
442,2000.208,1540.23,4927,20592
443,2000.21,1538.36,5658,20547
444,2000.213,1536.79,7822,19928
445,2000.216,1535.26,8199,20000
446,2000.219,1533.59,7071,19954
447,2000.221,1531.8,6148,19956
448,2000.224,1530.16,6497,19144
449,2000.227,1528.48,7045,20002
450,2000.23,1526.98,8519,20090
451,2000.232,1525.31,7119,20000
452,2000.235,1523.52,6335,20139
453,2000.238,1521.83,6779,19815
454,2000.24,1520.14,7104,20139
455,2000.243,1518.55,9861,20092
456,2000.246,1517.19,11413,20000
457,2000.249,1516.05,11292,18492
458,2000.251,1515.09,10100,16160
459,2000.254,1514.23,8800,14229
460,2000.257,1513.06,9751,17135
461,2000.26,1511.94,9555,16625
462,2000.262,1510.76,8924,16374
463,2000.265,1509.86,8776,14460
464,2000.268,1509.09,8687,13548
465,2000.27,1508.28,8436,13549
466,2000.273,1507.42,8023,13451
467,2000.276,1506.5,7743,13549
468,2000.279,1505.72,8478,13403
469,2000.281,1505.08,9557,13597
470,2000.284,1504.56,10219,13500
471,2000.287,1504.21,11289,13500
472,2000.29,1503.49,10650,15199
473,2000.292,1502.78,10467,14948
474,2000.295,1502.07,10518,15000
475,2000.298,1501.42,10949,15052
476,2000.301,1500.83,11538,15263
477,2000.303,1500.3,11655,15000
478,2000.306,1499.82,12074,15000
479,2000.309,1499.32,12128,15000
480,2000.311,1498.95,12819,14947
481,2000.314,1498.55,12595,14893
482,2000.317,1497.88,11778,15625
483,2000.32,1497.28,12607,16053
484,2000.322,1496.64,12535,16214
485,2000.325,1495.88,11529,15893
486,2000.328,1494.96,11250,16532
487,2000.331,1493.92,10576,16554
488,2000.333,1493,11215,16500
489,2000.336,1492.46,14270,17369
490,2000.339,1491.66,14614,19214
491,2000.342,1491.44,17683,18946
492,2000.344,1491.51,19508,19107
493,2000.347,1491.48,18776,18947
494,2000.35,1491,15811,18569
495,2000.352,1490.26,14805,19053
496,2000.355,1490.02,17568,18947
497,2000.358,1490.03,19602,19545
498,2000.361,1490.38,21958,19947
499,2000.363,1491.29,24850,19625
500,2000.366,1491.97,25010,21104
501,2000.369,1493.02,26584,20551
502,2000.372,1494.5,29057,20552
503,2000.374,1495.92,29196,21041
504,2000.377,1497.1,27886,21107
505,2000.38,1498.34,28015,20893
506,2000.383,1499.35,27455,21651
507,2000.385,1500.28,26484,20985
508,2000.388,1500.93,25554,21451
509,2000.391,1501.91,27687,21500
510,2000.393,1503.24,29841,21446
511,2000.396,1504.29,28132,21500
512,2000.399,1505.38,28381,21500
513,2000.402,1506.6,29046,21344
514,2000.404,1507.57,27301,21178
515,2000.407,1508.24,26073,21845
516,2000.41,1508.82,25661,22000
517,2000.413,1509.62,26999,21949
518,2000.415,1510.2,25972,22309
519,2000.418,1510.34,23573,22688
520,2000.421,1510.47,23165,22345
521,2000.423,1511,25467,22120
522,2000.426,1511.91,27441,21697
523,2000.429,1512.1,23806,22606
524,2000.432,1511.64,20965,23868
525,2000.434,1510.92,20904,25452
526,2000.437,1512.57,36981,26562
527,2000.44,1516.56,51300,26115
528,2000.443,1517.25,31357,27098
529,2000.445,1517,26492,28070
530,2000.448,1516.19,24435,29553
531,2000.451,1515.26,23812,29682
532,2000.454,1514.65,26317,30166
533,2000.456,1514.55,29586,30217
534,2000.459,1515.11,33413,29880
535,2000.462,1515.74,34195,30217
536,2000.464,1516.45,34591,30110
537,2000.467,1517.3,35205,29835
538,2000.47,1518.08,35472,30548
539,2000.473,1518.99,35613,30500
540,2000.475,1519.72,35850,30611
541,2000.478,1520,32377,30610
542,2000.481,1519.89,29751,30445
543,2000.484,1519.7,29356,30555
544,2000.486,1519.76,30428,30049
545,2000.489,1520.66,36202,29597
546,2000.492,1521.42,35307,29445
547,2000.495,1522.2,35517,29500
548,2000.497,1523.92,42712,29445
549,2000.5,1525.34,39138,28188
550,2000.503,1526.12,34125,28110
551,2000.505,1526.48,30777,28000
552,2000.508,1526.8,30413,27945
553,2000.511,1527.12,30414,27945
554,2000.514,1527.73,32815,28110
555,2000.516,1528.85,36530,27890
556,2000.519,1530.6,41386,27889
557,2000.522,1532.39,39640,25835
558,2000.525,1533.56,34918,25893
559,2000.527,1535.03,36589,25250
560,2000.53,1536.64,36604,24107
561,2000.533,1538.2,35951,24000
562,2000.536,1539.83,36465,23893
563,2000.538,1541.62,40730,23654
564,2000.541,1544.46,49898,22264
565,2000.544,1550.54,79879,20721
566,2000.546,1555.73,71787,21288
567,2000.549,1559.5,56671,19987
568,2000.552,1562.57,54526,19951
569,2000.555,1566.61,66010,19305
570,2000.557,1570.42,63190,19145
571,2000.56,1573.8,58172,19097
572,2000.563,1576.9,54838,19000
573,2000.566,1579.66,52482,20575
574,2000.568,1582.57,58401,20730
575,2000.571,1585.22,57345,22554
576,2000.574,1588.02,59925,23165
577,2000.577,1590.83,59893,23000
578,2000.579,1594.55,71785,22945
579,2000.582,1598.36,72856,22835
580,2000.585,1603.98,102724,22889
581,2000.587,1607.63,76527,23055
582,2000.59,1610.13,59626,23000
583,2000.593,1611.74,46696,23111
584,2000.596,1613.02,41699,22945
585,2000.598,1614.29,41768,23166
586,2000.601,1615.45,40726,23731
587,2000.604,1616.58,41763,25208
588,2000.607,1617.78,42313,24732
589,2000.609,1619.12,42037,22409
590,2000.612,1620.17,38387,22733
591,2000.615,1621.16,39077,23000
592,2000.617,1622.3,41518,23000
593,2000.62,1623.52,42813,23000
594,2000.623,1624.71,42226,22897
595,2000.626,1625.71,38750,22511
596,2000.628,1626.65,37812,22541
597,2000.631,1627.77,40635,22447
598,2000.634,1628.68,37335,22553
599,2000.637,1629.62,37765,22500
600,2000.639,1630.48,36418,22447
601,2000.642,1631.35,36627,22500
602,2000.645,1632.12,35062,22553
603,2000.648,1632.71,31657,22075
604,2000.65,1633.29,31844,22426
605,2000.653,1633.98,33099,21893
606,2000.656,1635.01,38837,22101
607,2000.658,1636.42,44851,21947
608,2000.661,1637.52,39863,22000
609,2000.664,1638.51,38027,21946
610,2000.667,1639.67,40733,21894
611,2000.669,1640.58,37841,22106
612,2000.672,1641.27,34020,21681
613,2000.675,1641.93,34123,22319
614,2000.678,1642.69,35702,22107
615,2000.68,1643.59,38094,22000
616,2000.683,1644.45,37326,21947
617,2000.686,1645.2,35412,22000
618,2000.689,1645.83,33054,21787
619,2000.691,1646.34,31177,22053
620,2000.694,1646.62,27062,22053
621,2000.697,1646.77,24735,22053
